Title,Article,Rating
Omnichannel done right: 4 ways to keep the communication in marketingcommunications,"This sponsored post is produced in association with Ytel. Consumers have thoroughly embraced the brave new world of modern communication and always-on connectivity  and theyve also come to expect that. And if youre a smart marketer, youre going to follow them into that increasingly well-settled frontier to keep your competitive edge with an omnichannel approach supported by cloud communications. But youre not alone. A study by Neustar found that 40 percent of companies believe that omnichannel marketing is important  and 30 percent believe these strategies are critical. 35 percent are already out there with their message broadcasting throughout a customers digital life, with 27 percent making plans to get there soon. The VentureBeat Insight report, Omnichannel Trends: Data, platforms, mobile, and commerce , found that 34 percent of marketers are upping their game by appealing to two to three channels, while 7 percent juggle an extraordinary 1020 platforms in their effort to corner of their targets attention. Its a hell of a crowd, and you need to earn your place in it. If you dont offer incredibly relevant messages that really mean something to your customer, theyre going to dismiss your company as irrelevant, too. But theres a major drawback when marketers take the leap without a strategy  the VentureBeat report also found that 39 percent of marketers feel pressured to use more engagement platforms than they can comfortably manage, and thats when focused, relevant communication starts to break down. And your customer will always notice. The problem? Your customers do not think, live, or shop in channels. No matter the touchpoint, the channel, or the device they use, a customer is still just one person, and you need to learn how to treat them that way. The answer isnt adding more channels  its understanding and managing the channels your customers are in, in extraordinary ways. Its understanding the power of communication on a granular level, and recognizing that the foundation of your business, from initial sale to eternal loyalty, boils down to basic human interaction. Offer the products and services your customers want, but also know what they need. This comes from a deep, intrinsic knowledge of the industry you operate in, so you understand your customers pain points, and know exactly how to soothe them. While on its surface omnichannel communication benefits the marketer  all those ways to get your message across, theres no way your customer can miss them!its really about giving customers a choice about where and when and how they want to communicate with you. Your customers notice when theyre getting the information they need, in the place where they want to be. More importantly, they notice when you dont  and thats the kind of service that sends previously loyal customers fleeing. So that means actively listening and engaging with your customers, prospects, and leads, which directly impacts your bottom line  because according to a report from Walker , by 2020, customer experience will overtake price and product as the key brand differentiator. How do you connect, listen and learn? Here are some of the channels where you need to be hanging on to your customers every word. 60 percent of marketers are still using social channels as a marketing tool , rather than a driver of customer experience, and thats why theyre leaving money on the table. The numbers dont lie: A study from Bain found that when companies engage and respond to customer service requests over social media, those customers spend 20 percent to 40 percent more with the company  and theyre almost three times more likely to recommend a brand, says HBR . And if you arent responsive on social media, youre going to see your churn rate increase by up to 15 percent . So change your focus from broadcasting to listening, and engage with your customers on the issues and interests that matter to them. Dashboards like Hootsuite can help you monitor mentions of your brand across all your social media profiles and stay on top of conversations and comments. Dimensional Research found that 88 percent of customers are influenced by online customer service reviews when making buying decisions, so you need to stay on top of your online mentions. Set up Google Alerts with your company and product names to keep track, and keep tabs on the places where your customers are most likely to talkfrom consumer review sites like Yelp, Insider Pages, and Angies list to directory services like Yahoo Local, Google Places, and Citysearch. Responding to reviews helps make customers feel heardand offering assistance to resolve any issues develops tremendous goodwill. Being open to direct customer contact, where and how they want to reach you, is one of the most important ways to establish authentic engagement and productive two-way conversations. Make contact links prominent across your site and on all of your social media profiles, as well as add a way for customers to contact you from an email or push notification. You can also consider soliciting opinions via customer surveys and polls. Request feedback directly in notifications, and even use the Facebooks Questions feature to pick your users brains. Customers choose communication channels based on what they need to accomplish, so all avenues of contact need to be easy for consumers to find, be reliable, and be easy to use. More traditional communications channels, which include phone, email, and chat, offer a level of comfort for the customer and simpler access to your company. eDigitals Customer Service Benchmark found that live chat is a particularly popular avenue for customers, because it provides near-instant response times, clear answers, and an easy way to ask further questions or for clarification. But the phone is both the most traditional communication platform of them all, and the most neglected. Nonverbal cues such as tone variations and pauses offer essential conversational clues to enrich the experience. And there really isnt much that can beat that feeling of direct, one-to-one focused connection that makes a customer feel truly heard. Active listening packs a huge punch for your business. Youre taking all the noise of marketing and sales and turning it into a real connection with your customers  the fundamental building block of sales and long-term loyalty. Its omnichannel done right. Sponsored posts are content that has been produced by a company that is either paying for the post or has a business relationship with VentureBeat, and theyre always clearly marked. The content of news stories produced by our editorial team is never influenced by advertisers or sponsors in any way. For more information, contact sales@venturebeat.com .",
The 10 things in advertising you need to know today,"Mark J. Terrill/AP Good morning. Here's everything you need to know in the world of advertising today. 1. The UK government brought out its long-awaited Childhood Obesity Plan, which includes plans to introduce a soft drinks tax. However, the plan doesn't include expected measures to curb junk food advertising to children. 2. Coca-Cola says the UK soft drinks tax ""is not the right response.""  The soft drinks company says the plan will only serve to hit consumers' pockets, damage businesses, and that it won't reduce obesity rates. 3. Michael Phelps' new Sports Illustrated cover could make Under Armour furious.  Under Armour's star athlete is wearing Nike. 4. Pinterest has finally started selling video ads.  The New York Times reports that the silent autoplay video ads will begin appearing on the Pinterest feed from Wednesday. 5. New guidelines led to a big change for uniforms at the Olympics.  Brand logos are showing up more than ever. 6. Snapchat plans to more than double its workforce in New York City.  The company has agreed to create 396 jobs in the state of New York in exchange for tax breaks totaling up to $5 million. 7. Russian billionaire Evgeny Lebedev tried to buy The Daily Telegraph, The Financial Times reported. Lebedev, who owns The London Evening Standard, was told by The Telegraph Media Group's chairman Aidan Barclay that the title was not for sale. 8. Mark Zuckerberg said he regretted having to spend $2 billion on Oculus in order to get into virtual reality.  ""I actually view that as, you know, if we'd done a better job of building up some of the expertise to do some of that stuff internally, then maybe we wouldn't have had to do that"" - but he added that he's happy with the investment. 9. McDonald's has had to pull its Happy Meal fitness bands.  People had reported skin irritation after wearing them, according to AdAge. 10. Tencent reported strong second quarter results.  Net profit rose 47% to 10.73 billion yuan, while revenue was up 52% to 35.69 billion yuan, beating analysts' estimates.   NOW WATCH: New guidelines have led to a big change for uniforms at the Rio Olympics      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', 'lneHZkNTE69r7QTb3lQXo3ADb2YvYxf4',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
STOCKS FALL: Here's what you need to know,"Flickr/JasonLangheine Happy Leap Day! Stocks fell on the final day of February, the 29th day of the month which only comes around once every four years. For the month, the major US averages finished just about flat but slightly in the red. First, the scoreboard: Dow: 16,511.1, -128.9, (-0.8%) S&P 500: 1,932, -16, (-0.8%) Nasdaq: 4,557.9, -32.5, (-0.7%) WTI crude oil: $33.80, +3% Economy We got three pieces of economic data out Monday morning and they were all disappointing. (Well, there were four, with the ISM Milwaukee reading hitting 55.22 against expectations for 50.00. As niche regional economic indicators go this is very niche and very regional.) The latest Chicago PMI report indicated contraction in manufacturing activity in the Midwest during February, with the reading hitting 47.6, down from 55.6 the prior month and below expectations for a reading of 52.5. ""If one looks beyond the gyrations seen over the past three months then trend activity has been running a little below the 50 neutral mark, highlighting continued sluggish activity levels, with manufacturers under particular pressure,"" said Phillip Uglow, chief economist of MNI indicators, in the release . Also out Monday was Dallas Fed's manufacturing activity index , which hit -31.8, better than the -34.6 report in January but still worse than expected. This report has been among the worst pieces of economic data out over the last year or so as Texas and the greater south central US has been the epicenter of the fracking boom and subsequent crash (only North Dakota, really, has been hit harder). Among the disappointing comments out of the Dallas Fed's survey were comments from a chemical manufacturing executive who said they didn't know, ""if it is the weather, uncertainty created by the presidential election, or just a slowdown in the world economy, but  things are definitely slowing down."" Another executive in the fabricated metal manufacturing industry said, ""Our backlog has declined (50 percent less than the same time last year). We are receiving a very high volume of requests for proposals, but either are not winning them or the projects are on hold. Pricing to obtain any work has decreased for the benefit of the owner/contractor."" Finally, a disappointing report on the housing market crossed as the January report on pending home sales showed a 2.5% decline in January compared to the prior month, the biggest monthly decline in two years. Lawrence Yun, chief economist at the National Association of Realtors, said, "" While January's blizzard possibly caused some of the pullback in the Northeast, the recent acceleration in home prices and minimal inventory throughout the country appears to be the primary obstacle holding back would-be buyers."" Recession Watch, 2016 Commentary out of US Treasury specialists at Kessler Investment Advisors over the weekend offered the argument that the recent uptick in inflation we've seen over the last couple months is a sign that the economic cycle has already turned and that perhaps we are in recession now. It's worth keeping in mind that recessions aren't declared by the NBER until after the fact - so, for example the Great Recession was called in December 2008 when the economy had obviously been in the tank for months before that - and so we won't really know we're in recession until, I guess, it's too late or whatever. But here's Kessler on the thinking here: Counter-intuitively, the recent increases in core inflation are normal in the sequence of how a recession evolves . The typical business-cycle sequence is that the manufacturing sector weakens first, then employment and consumer spending, and lastly, inflation. In fact, it is often not until the recession is over that inflation begins to come down. Inflation is the longest lagging indicator. Now, some folks on Twitter noted that with this call we've got US Treasury specialists basically recommending investors go long Treasurys. This is a fair point. But it's a view. Elsewhere, Bob Bryan breaks down the two views that markets and the economy are outlining for investors to digest about just what is going on in the US right now. Basically you've got markets saying that things are bad while data says that while things might not be great, they are probably not that bad, either. Barclays' Michael Gapen wrote in a note to clients that, ""In particular, US data will need to firm enough to substantially reduce fears that the economy is on the brink of recession ... We stand by our original thesis: something's got to give. The longer financial market uncertainty persists, the more likely it is that the give will come from activity."" And so this is basically the idea that perceived weakness in the economy displayed in financial markets but not explicitly clear in the data will create the data that makes this perceived weakness actual. Reflexivity, or something. Saudi Arabia Saudi Arabia was the largest exporter of oil to China in January , leapfrogging Russia after falling behind them in the prior month. But, there's a catch. Here's Barclays: Russia ESPO blend has been popular among Chinese teapot refineries, which received crude import quotas and started importing crude oil last year. However, according to [research firm] Argus, teapot refineries are facing credit constraints from banks. At least two ESPO cargos were defaulted by Chinese teapot refineries due to credit issues. So! It's a China credit story as much as anything else. Which is interesting and also slightly concerning. Of course, the important thing to Saudi Arabia is that they continue exporting oil and maintaining its dominant position as an exporter in the global oil markets. The concern for markets concerned about things like China is, well, credit conditions in China. Russia, like Saudi Arabia, wants to export lots of stuff, too. Elsewhere in the House of Saud, Will Martin notes that the decline foreign exchange reserve in Saudi Arabia dropped to their lowest level in three years in January, indicating another area of financial stress in the kingdom. Here's HSBC on the problem (emphasis ours): The government has continued to drawdown on its savings to cover budget shortfalls, with oil prices averaging USD/bbl 35 in January. Lower oil receipts have also been reflected in tighter domestic liquidity. Commercial bank deposits have contracted m-o-m in four of the last six months, helping - along with a recent pick-up in credit - to push the loan-to-deposit ratio to its highest reading since 2009. Twitter Fred Wilson likes Twitter and Saturday's NBA game of the year between the Golden State Warriors and Oklahoma City Thunder is a prime example of why. (The short of it is that Stephen Curry, the best player in the NBA right now, had a historic night that was capped off with one of the most outrageous shots you'll see. Even if you don't like basketball,  watch this video .) Wilson writes (emphasis ours): Steph's opponents expressed their appreciation for what he is doing on Twitter in the moment. Not on Facebook. Not on Instagram. Not on Snapchat. Not anywhere else. And you don't have to be on Twitter to see that. You can see that here and many other places. Here's the thing about Twitter. You don't need to be logged into Twitter to see these tweets. You can see them on Twitter logged out. Or you can see them embedded in other places on web and mobile or on TV and elsewhere. You only need to be logged into Twitter to tweet. So anyone who is focusing on the logged in monthly active user number is missing something bigger. Wilson also notes that Donald Trump is using Twitter as his primary - and really, only - media tool to communicate with voters and storm through the Republican primaries. And look, we're journalists here at Business Insider and as members of the media really, really like Twitter. But the reality is that investors simply don't like to see companies that aren't growing. And while revenue growth at Twitter is still strong its user growth has been flat. But this metric is what Wilson is taking issue with. And it's a good argument. Twitter is the kind of thing that people who don't use it all the time don't understand, or are intimidated by. But when you use Twitter a lot you realize it is the most powerful and amazing network of just raw information you could ever have hoped to stumble upon. Growth is important, but Twitter's coming of age might be among growing the value of its users rather than the number of its users, and this is both scary and uncertain because really, no company that is, at heart, a software company has made a successful shift at this scale in the Tech Bubble 2.0 era. So we'll see. Additionally Ben Carlson on Jack Bogle vs. university endowments . Emanuel Derman on Bloomberg Radio . It was a no good , terrible day for Valeant Pharmaceuticals. The US stock market is done following China's every move . CD sales stink and vinyl sales are soaring . Because nostalgia. Mitt Romney on Donald Trump's latest comments . American Express officially sells Costco business to Citi .   NOW WATCH: This phone has the most unique design we've ever seen      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', 'VqcWgzMTE6efFh7YkKTQrdcyeakcINQl',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
What to read on the GigaOM network,Exclusive: first retail iPhone store to open in Germany next week (TheAppleBlog) Sonys sweet DSC-HX1 zooms into HD (NewTeeVee) The promise of algae fuel rests on Big Oil (Earth2Tech) LogMeIn Ignition gives you remote access from your iPhone (WebWorkerDaily) New Quickoffice version adds Office 2007 document editing (jkOnTheRun) Frankencamera: a far-reaching open-source camera project from Stanford (OStatic),
Thanks to TheAppleBlog Sponsors!,Wed like to say thanks to this months sponsor of TheAppleBlog:,
A dummy's guide to GST,"he long-delayed Goods and Services Tax Bill was passed in the Lok Sabha on Wednesday. Now a battle awaits its passage in the Rajya Sabha where the ruling National Democratic Alliance is in a minority. The Bill was taken up for consideration in the Lok Sabha on Tuesday after Finance Minister Arun Jaitley appealed to all parties to rise above partisan considerations to support it but its fate in Rajya Sabha was still a matter of speculation. The GST framework could easily be one of the most important tax reforms for India. It brings with it problems regarding division of taxation powers between the Centre and the states. Which is why the finance ministry had missed a number of deadlines in the past. The implementation of GST will lead to the abolition of other taxes such as Octroi, Central Sales Tax, state-level sales tax, entry tax, stamp duty, telecom licence fees, turnover tax, tax on consumption or sale of electricity, taxes on transportation of goods and services, et cetera, thus avoiding multiple layers of taxation that currently exist in India. The obvious question that arises: what is GST all about and how will it impact us? We present here a brief fact sheet. Goods and Services Tax -- GST -- is a comprehensive tax levied on manufacture, sale and consumption of goods and services at a national level. Through a tax credit mechanism, this tax is collected on value-added goods and services at each stage of sale or purchase in the supply chain. The idea of GST was first mooted by the Vajpayee government when it set up the Asim Dasgupta Committee to study the feasibility and the subsequent implementation of a new form of indirect tax. Vajpayee government went out of power in 2004 and a new coalition, United Progressive Alliance, took over the reins. During 2007-2008 Budget, Palaniappan Chidambaram, then Union Finance Minister, announced that GST would be introduced from April 1, 2010. Chidambaram also said that the Empowered Committee of State Finance Ministers, on his request, would work with the central government to prepare a road map. The GST Constitutional Amendment Bill, which was introduced in the Lok Sabha by the UPA government in 2011, has lapsed and so the Modi government had to come up with a fresh Bill. The GST could not be implemented till now as many states and several political parties were opposing it. States are nervous about the GST as they think the Bill does not address their concerns over entry tax and taxation of petroleum products. Initially, it was decided to keep petroleum products out of the purview of GST. But in the wake of states' opposition, a revised draft of the Constitution amendment Bill put petroleum, though zero-rated, under GST because it is an input product. GST, a value-added tax, gives credit for taxes paid on inputs. The states argued that if petroleum is kept out, it will break the chain for input credits. Also, for the tax to be implemented, the Constitution had to be amended and a consensus needed to be reached with the states. The states objected to the Constitutional Amendment Bill as it did not contain provisions for giving states compensation against any possible loss of revenue after GST roll-out for five years. One of the main concerns of the states was the cumulative revenue loss that they will suffer once Central Sales Tax is removed. Since CST is levied by the Centre on the inter-state movement of goods and is collected by the states, the latter were demanding suitable compensation. Finance Minister Arun Jaitley said the Centre has allowed states to levy one per cent additional tax on inter-state trade for a period of two years. The Centre has also agreed to compensate the states for revenue loss arising out of GST implementation for a period that may extend up to five years. The GST Bill faced stiff opposition from parties like All India Anna Dravida Munnetra Kazhagam and Biju Janata Dal. The AIADMK said it was against it as Tamil Nadu would lose over Rs 10,000 crore (Rs 100 billion) because of the new tax structure. The Congress too recently accused Bharatiya Janata Party of making U-turn and of practising subterfuge, deceit and a hidden agenda. However, the Congress made it clear that it was only opposing the manner of bringing in the GST Bill and not the concept, as the move for GST was initiated by the UPA. Under GST, the taxation burden will be divided equitably between manufacturing and services, through a lower tax rate by increasing the tax base and minimising exemptions. It is expected to help build a transparent and corruption-free tax administration. GST will be levied only at the destination point, and not at various points (from manufacturing to retail outlets). It is estimated that India will gain as implementation of GST would promote exports, raise employment and boost growth. In the GST system, both central and state taxes will be collected at the point of sale. Both components (the central and state GST) will be charged on the manufacturing cost. This will benefit individuals as prices are likely to come down. Lower prices will lead to more consumption, thereby helping companies. GST will not be an additional tax. CGST will include central excise duty (Cenvat), service tax, and additional duties of customs at the central level; and value-added tax, central sales tax, entertainment tax, luxury tax, octroi, lottery taxes, electricity duty, state surcharges related to supply of goods and services and purchase tax at the State level. The tax-rate under the proposed GST would come down, but the number of assesses would increase 5-6 times. VAT regulations and rates generally vary across states. States at times undercut rates to draw investors. This leads to a loss of revenue to both the state and the Centre. GST would introduce uniform taxation laws across states and different sectors. No. In short term, it may lead to higher inflation rates. But prices are expected to fall in the long term as dealers might pass on the benefits of the reduced tax to consumers. According to A K Bhattacharya, Editor, , far from creating a barrier-free pan-Indian market for smooth transaction of goods and services across the country, the GST system may well create new tax hurdles. Instead of improving tax compliance, there could be a strong incentive for tax payers to avoid the higher tax burden to be imposed by the new system, Bhattacharya wrote in one of his recent columns published in . The tax base too may not widen because of the many items that would be excluded from the GST chain, he said. And, most important, instead of enhancing the value of the country's economic activity, the proposed GST system may well be a dampener for achieving higher growth in gross domestic product. GST is likely to have a negative impact on small businesses, especially those in the Micro, Small and Medium Enterprises sector. The fear is that once GST is implemented, they will end up paying more tax than ever, which may force them to shut shop. Needless to add, MSME sector is an important contributor to the growith of India's GDP. The GST is likely to exclude potable alcohol, tobacco etc. The future of the Bill is still uncertain. For, despite the support of Trinamool Congress, the government is a minority in Rajya Sabha. However, The Biju Janata Dal, which had been opposing the Bill, joined the Trinamool Congress in dropping its demand that the constitutional amendment Bill for a goods and services tax be referred to a parliamentary standing committee on finance. This could pave the way for the Bill to overcome the Rajya Sabha hurdle.  Both Prime Minister Narendra Modi and Finance Minister Arun Jaitley were eager to get the GST Bill passed as according to an estimate, Indian economy will gain $15 billion a year if the GST is implemented. With globalisation, it is necessary that India's economy aligns with the best international practices. And this is where an efficient taxation system is a must. An inclusive tax system like the GST may be the answer.",
Working at TaxiForSure is fun for sure [Fabulous Workplaces],"And all of these people have brought something diverse to the table at TaxiForSure. So for all of the people who work at TaxiForSure, apart from the work that they do, there is much more that they can take away from the company, says Raghunandan G, co-founder, TaxiForSure (TFS) about the team. TaxiForSure.com is an aggregator of car rentals and taxis in India. The startup, based out of Bangalore, works with various taxi operators and enables them with technology to ensure that customers get an easily accessible, safe, reliable taxi ride for sure. When we, at YourStory TV, visited the TFS office in Bangalore, we were greeted to a decked up and colorful office as celebrations were on for the third anniversary of the startup. The team has grown to 300 employees from the original 3-person team that used to work out of a 200 square foot space. The startup promotes an open culture at work and the place seems to be buzzing all the time. Work and fun are not separate entities at TFS. One can find people sharing ideas in the 'bean Bag' room, or discussing strategies over a game of Carrom or Table Tennis. ""Being a part of a consumer-facing company means that people use our product all the time and are always ready with a feedback. Whenever we go to parties or conferences and say that we are from TFS people have something to say to us. It's a great experience having friends and family using what I work on,"" says Satej Sirur, Product Manager, TFS. ""We believe that we have got a great business model. We have got some awesome people with us already who are building fantastic technologies. We are changing the lives of drivers and operators and the way consumers book cabs. And anyone who wants to be part of making history should definitely join TaxiForSure,"" signs off Aprameya, co-founder, TFS.",
IDG Entertainment: Director of Marketing,"In this role, the Director of Marketing will be responsible for developing and executing online and print marketing plans.",
The Day After: Yang Still Open To Deal; Angry Instiutionals; Shareholder Lawsuits Start,"Not that this is a surprise, since analysts have been saying since this weekend that the no is not the final no. Yahoo (NSDQ: YHOO) CEO Jerry Yang now says that it was Microsoft who left the negotiating table, and that his team was still open to discussing a deal. In an interview to Reuters , he said: If they have anything new to say, we would be open  I am more than willing to listen. Yang said he had spoken to many Yahoo shareholders since Saturday, and their reaction been all over the map. Yang said he is taking Ballmers withdrawal letter at face value and doesnt know if this is a negotiating tactic. My view is we are moving on and they said theyre moving on, he added. Meanwhile, the shareholder lawsuits have started, as expected: the first one out of the gate are two public pension funds represented by law firms Bernstein Litowitz Berger & Grossmann LLP and Bouchard Margules & Friedlander, P.A. The two pension funds are Police & Fire Retirement System of the City of Detroit and the General Retirement System of the City of Detroit. Details here . Then, the big institutional shareholders of Yahoo seem to be angry, this WSJ story says : Im extremely disappointed in Jerry Yang, said Gordon Crawford, a portfolio manager at Capital Research Global Investors, which owns over 6 percent of Yahoos shares. I think he overplayed a weak hand. Then Yang, also in an interview to WSJ, did the dialback: We as a company and I personally have always been open to a deal with Microsoft and I hope that the last few days it was clear that we have shown were willing to do a deal with Microsoft but that we couldnt get to an agreement on price. Update : The Yang tour continues: NYT reports on Yangs version of a Ballmer rejection: They chose to walk away after we put a price on the table, and they didnt want to negotiate.  From my perspective, we were open all along to selling to Microsoft (NSDQ: MSFT). We just feel Yahoo, either stand-alone or with Microsoft, is worth more than what they put on the table. Of course, it was Microsoft that raised its bid and Yahoo that dug in on the much higher price. And more from Crawford, challenging the Yahoo account of shareholder react: I would love to know who these shareholders are.  it",
These 19 companies are racing to put driverless cars on the road by 2020,"When 2020 hits, you can bet it will start the decade of driverless cars. Volvo We rounded up 19 companiesaiming to havedriverless car technology ready by 2020, someeven declaring their fully autonomous car will be hitting the roads at that time. (Assuming the various necessary regulations are in place, of course.) Here's who is in the race to make driverless cars a reality just four years from now.",
10 things in tech you need to know today,"REUTERS/Yuya Shino SoftBank Group Corp. Chairman and CEO Masayoshi Son. Good morning! Here's the tech news you need to know to start your week. 1. Japan's SoftBank has agreed to buy UK chip designer ARM for 23.4 billion, according to The Financial Times . ARM, which was founded in 1990, employs more than 3,000 people. 2. A court has ruled that the US government cannot force Microsoft and other companies to turn over customer emails stored on servers outside the United States. The decision is a defeat for the US Department of Justice and a victory for privacy advocates. 3. WeWork is suing an ex-employee for talking to reporters.  The former employee reportedly disclosed information to Bloomberg News that showed the firm, which is valued at $16 billion (12 billion), falling short of its financial goals. 4. Vice CEO Shane Smith has bought another Los Angeles crib for $3.8 million (2.9 million). The house is only about a mile away from Smith's $23 million (17.4 million) mansion in Santa Monica, which he purchased last year . 5. Twitter moved swiftly to remove posts from Islamic extremists glorifying the Nice attacks, according to watchdog groups.  Twitter rarely receives praise from watchdogs as its platform struggles to contain violent propaganda. 6. Hacking group OurMine is claiming credit for an attack on ""Pokemon Go"" servers.  The group reportedly spent several hours hitting Pokemon Go's login servers with a distributed denial of service (DDoS) attack, leaving some players unable to log in to the game. 7. One of Yahoo's most important businesses has stopped growing.  The company could face a lot of questions on Monday. 8. Turkish president Recep Tayyip Erdogan made a statement on Apple FaceTime on Friday night in response to a coup staged by the Turkish armed forces.  The unusual statement came after the coup tried to take control of media outlets. 9. The tech world slammed Facebook for blaming its poor workforce diversity stats on a lack of available talent. The backlash came after the social media giant revealed that it still mainly employs white men. 10. O2 CEO Ronan Dunne is leaving the company after eight years at the helm.  The telecoms executive will be replaced by O2 CFO Mark Evans.   NOW WATCH: How to find Pokemon in 'Pokemon Go'      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', 'hjZXVxNDE6GYlGKs36E66HaSXaVdav4Q',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
BSE: Top gainers and losers,he Nifty ended at 52-week closing high led by banks after a meeting of G20 finance ministers came to a consensus to support global growth amid growing uncertainty post the Britain's exit from the European Union. State-owned oil firms gained on the back of government's plans to merge all into a single behemoth.,
The 10 biggest European tech stories thisweek,"This week, Tech.eu tracked 15 technology M&A transactions, two IPOs, and 56 funding deals (totaling 484 million, or about $537 million) in Europe, Turkey, and Israel.Heres an overview of the 10 biggest European tech news items for this week: 1) Deliveroo, the London-based premium food delivery juggernaut, has raised a massive $275 million in Series E financing to support its rapid growth. 2) A consortium of Chinese companies led by Shanghai Giant Network Technology, one of Chinas largest online gaming companies, is acquiring Israeli social games developer Playtika from Caesars Interactive Entertainment for a whopping $4.4 billion  one of the largest exits by an Israeli tech company ever. 3) The European Commission is setting itself up for a fight with national governments by forcing them to pay for guaranteed internet access across the EU and requiring that they comply with new rules on radio spectrum sales. 4) Swiss digital TV security company Kudelski on Tuesday announced a settlement with Apple , ending a patent dispute in the United States and Europe and removing a threat to Apples video streaming features in devices sold in Germany. 5) Just Eat has offloaded its Netherlands and Belgium business to Takeaway.com for 22.5 million . 6) Daimler led the biggest funding round yet intoBlacklane , a Berlin-based competitor to Uber thats seeking to expand in Asia and the Middle East. The investment was for more than $11 million. 7) Estonian startup Skeleton Technologies, which makes new energy-storage technologies that Elon Musk called key to the future of electric cars, secured a new 13 million round of funding to expand in Asia. 8) Verizon is buying Fleetmatics , a telematics company based out of Dublin, Ireland, for $2.4 billion in cash, to build out the products that it offers to enterprises in the areas of logistics and mobile workforces. 9) French video ad company Teads has secured $47 million in debt funding , plans acquisitions, and further Asia expansion. 10) Dutch startup 3D Hubs has raised $7 million in Series B funding in a round led by EQT Ventures, with backing from previous investor Balderton Capital. Bonus link:  Geektime 2016 half-year report  Is the tech bubble actually bursting in Israel?  Subscribe to theweekly Tech.eu Newsletter here . This post first appeared on Tech.eu .",
